symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
DVCR,Diversicare Healthcare Services Inc.,10.7,691e5,NA,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/dvcr,NASDAQ
SAUC,"Diversified Restaurant Holdings, Inc.",1.44,3871e4,NA,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sauc,NASDAQ
DLHC,DLH Holdings Corp.,6.25,725e5,NA,Technology,Professional Services,http://www.nasdaq.com/symbol/dlhc,NASDAQ
BOOM,DMC Global Inc.,22.75,336e6,NA,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/boom,NASDAQ
DNBF,DNB Financial Corp,33.55,14322e4,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/dnbf,NASDAQ
DLTR,"Dollar Tree, Inc.",106.29,252e8,1995,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dltr,NASDAQ
DGICA,"Donegal Group, Inc.",18.21,49952e4,NA,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/dgica,NASDAQ
DGICB,"Donegal Group, Inc.",14.15,38815e4,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/dgicb,NASDAQ
DMLP,"Dorchester Minerals, L.P.",14.6,47128e4,NA,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dmlp,NASDAQ
DORM,"Dorman Products, Inc.",62.51,2109999999.9999998,NA,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dorm,NASDAQ
DOVA,"Dova Pharmaceuticals, Inc.",31.21,80061e4,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dova,NASDAQ
LYL,Dragon Victory International Limited,4.88,5693e4,2017,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/lyl,NASDAQ
DOTA,"Draper Oakwood Technology Acquisition, Inc.",9.8044,7427e4,2017,Finance,Business Services,http://www.nasdaq.com/symbol/dota,NASDAQ
DOTAR,"Draper Oakwood Technology Acquisition, Inc.",0.5,NA,2017,Finance,Business Services,http://www.nasdaq.com/symbol/dotar,NASDAQ
DOTAU,"Draper Oakwood Technology Acquisition, Inc.",10.55,NA,2017,Finance,Business Services,http://www.nasdaq.com/symbol/dotau,NASDAQ
DOTAW,"Draper Oakwood Technology Acquisition, Inc.",0.67,NA,2017,Finance,Business Services,http://www.nasdaq.com/symbol/dotaw,NASDAQ
DRYS,DryShips Inc.,3.81,39729e4,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/drys,NASDAQ
DSPG,"DSP Group, Inc.",12.95,28908e4,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/dspg,NASDAQ
DLTH,Duluth Holdings Inc.,15.73,51058e4,2015,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dlth,NASDAQ
DNKN,"Dunkin&#39; Brands Group, Inc.",61.37,554e7,2011,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dnkn,NASDAQ
DRRX,DURECT Corporation,1.01,15003e4,2e3,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/drrx,NASDAQ
DXPE,"DXP Enterprises, Inc.",28.13,48923e4,NA,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dxpe,NASDAQ
DYSL,Dynasil Corporation of America,1.29,2201e4,NA,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dysl,NASDAQ
DYNT,Dynatronics Corporation,2.7,1329e4,NA,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/dynt,NASDAQ
DVAX,Dynavax Technologies Corporation,19.25,117e7,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dvax,NASDAQ
ETFC,E*TRADE Financial Corporation,49.88,1337e7,NA,Finance,Savings Institutions,http://www.nasdaq.com/symbol/etfc,NASDAQ
EBMT,"Eagle Bancorp Montana, Inc.",20.95,10476e4,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/ebmt,NASDAQ
EGBN,"Eagle Bancorp, Inc.",58.9,2009999999.9999998,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/egbn,NASDAQ
EGLE,Eagle Bulk Shipping Inc.,4.64,34393e4,NA,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/egle,NASDAQ
EFBI,"Eagle Financial Bancorp, Inc.",15.95,2572e4,2017,Finance,Savings Institutions,http://www.nasdaq.com/symbol/efbi,NASDAQ
EGRX,"Eagle Pharmaceuticals, Inc.",57.4,8565e5,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/egrx,NASDAQ
EWBC,"East West Bancorp, Inc.",60.69,877e7,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/ewbc,NASDAQ
EACQ,Easterly Acquisition Corp.,10.1,65180000.00000001,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacq,NASDAQ
EACQU,Easterly Acquisition Corp.,10.73,NA,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacqu,NASDAQ
EACQW,Easterly Acquisition Corp.,0.69,NA,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacqw,NASDAQ
EML,Eastern Company (The),27.95,17501e4,NA,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/eml,NASDAQ
ESDI,"Eastside Distilling, Inc.",4.37,2108e4,NA,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/esdi,NASDAQ
ESDIW,"Eastside Distilling, Inc.",0.85,NA,NA,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/esdiw,NASDAQ
EVGBC,Eaton Vance NextShares Trust,99.98,NA,NA,NA,NA,http://www.nasdaq.com/symbol/evgbc,NASDAQ
EVSTC,Eaton Vance NextShares Trust,100.02,NA,NA,NA,NA,http://www.nasdaq.com/symbol/evstc,NASDAQ
EVFTC,Eaton Vance NextShares Trust II,100.05,NA,NA,NA,NA,http://www.nasdaq.com/symbol/evftc,NASDAQ
EVLMC,Eaton Vance NextShares Trust II,99.94,NA,NA,NA,NA,http://www.nasdaq.com/symbol/evlmc,NASDAQ
OKDCC,Eaton Vance NextShares Trust II,100.11,NA,NA,NA,NA,http://www.nasdaq.com/symbol/okdcc,NASDAQ
EBAY,eBay Inc.,38.37,4008e7,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebay,NASDAQ
EBAYL,eBay Inc.,26.99,NA,NA,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebayl,NASDAQ
EBIX,"Ebix, Inc.",78.85,248e7,NA,Technology,EDP Services,http://www.nasdaq.com/symbol/ebix,NASDAQ
ELON,Echelon Corporation,5.22,236e5,1998,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/elon,NASDAQ
ECHO,"Echo Global Logistics, Inc.",26.95,75211e4,2009,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/echo,NASDAQ
SATS,EchoStar Corporation,59.1,566e7,NA,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sats,NASDAQ
