symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
HST,"Host Hotels & Resorts, Inc.",20.14,1491e7,NA,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hst,NYSE
HLI,"Houlihan Lokey, Inc.",46.02,303e7,2015,Finance,Investment Managers,http://www.nasdaq.com/symbol/hli,NYSE
HOV,Hovnanian Enterprises Inc,2.47,36455e4,NA,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/hov,NYSE
HHC,Howard Hughes Corporation (The),128.91,558e7,NA,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hhc,NYSE
HPQ,HP Inc.,20.92,3494e7,NA,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/hpq,NYSE
HRG,"HRG Group, Inc.",16.51,331e7,NA,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/hrg,NYSE
HSBC,HSBC Holdings plc,50.17,20063e7,NA,Finance,Savings Institutions,http://www.nasdaq.com/symbol/hsbc,NYSE
HSBC^A,HSBC Holdings plc,25.88,NA,NA,NA,NA,http://www.nasdaq.com/symbol/hsbc^a,NYSE
HSEA,HSBC Holdings plc,27.78,NA,NA,Finance,Savings Institutions,http://www.nasdaq.com/symbol/hsea,NYSE
HSEB,HSBC Holdings plc,26.92,NA,NA,Finance,Savings Institutions,http://www.nasdaq.com/symbol/hseb,NYSE
HNP,"Huaneng Power International, Inc.",25.16,956e7,1994,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/hnp,NYSE
HUBB,Hubbell Inc,128.87,705e7,2015,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/hubb,NYSE
HUBS,"HubSpot, Inc.",90.85,34e8,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/hubs,NYSE
HBM,Hudbay Minerals Inc.,7.7,2009999999.9999998,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/hbm,NYSE
HBM.WS,Hudbay Minerals Inc.,NA,NA,NA,NA,NA,http://www.nasdaq.com/symbol/hbm.ws,NYSE
HPP,"Hudson Pacific Properties, Inc.",34.33,536e7,2010,Finance,Real Estate,http://www.nasdaq.com/symbol/hpp,NYSE
HGT,Hugoton Royalty Trust,1.3,52e6,1999,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hgt,NYSE
HUM,Humana Inc.,253.64,3624e7,NA,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/hum,NYSE
HII,"Huntington Ingalls Industries, Inc.",238.83,1081e7,NA,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/hii,NYSE
HUN,Huntsman Corporation,31.7,761e7,2005,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/hun,NYSE
H,Hyatt Hotels Corporation,71.25,8470000000.000001,2009,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/h,NYSE
HY,"Hyster-Yale Materials Handling, Inc.",82.93,137e7,NA,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/hy,NYSE
IAG,Iamgold Corporation,5.5,256e7,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/iag,NYSE
IBN,ICICI Bank Limited,9.48,304e8,NA,Finance,Commercial Banks,http://www.nasdaq.com/symbol/ibn,NYSE
IDA,"IDACORP, Inc.",95.51,481e7,NA,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ida,NYSE
IEX,IDEX Corporation,131.2,1002e7,1989,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/iex,NYSE
