symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
AGII,"Argo Group International Holdings, Ltd.",61.35,182e7,NA,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agii,NASDAQ
ARRY,Array BioPharma Inc.,10.92,215e7,2e3,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arry,NASDAQ
ARRS,ARRIS International plc,25.82,483e7,NA,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs,NASDAQ
ASND,Ascendis Pharma A/S,36.83,134e7,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/asnd,NASDAQ
ASML,ASML Holding N.V.,173.8,7483e7,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asml,NASDAQ
AZPN,"Aspen Technology, Inc.",67.03,486e7,1994,Technology,EDP Services,http://www.nasdaq.com/symbol/azpn,NASDAQ
ASTE,"Astec Industries, Inc.",54.69,126e7,1986,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/aste,NASDAQ
ATRO,Astronics Corporation,41.3,116e7,NA,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/atro,NASDAQ
ATHN,"athenahealth, Inc.",135.97,544e7,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/athn,NASDAQ
AY,Atlantica Yield plc,21.23,213e7,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ay,NASDAQ
AAWW,Atlas Air Worldwide Holdings,57.55,146e7,NA,Transportation,Transportation Services,http://www.nasdaq.com/symbol/aaww,NASDAQ
TEAM,Atlassian Corporation Plc,47.03,1082e7,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/team,NASDAQ
ATRI,Atrion Corporation,630,117e7,NA,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atri,NASDAQ
ADSK,"Autodesk, Inc.",108.4,2388e7,NA,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk,NASDAQ
ADP,"Automatic Data Processing, Inc.",118.19,5242e7,NA,Technology,EDP Services,http://www.nasdaq.com/symbol/adp,NASDAQ
AVXS,"AveXis, Inc.",98.92,316e7,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/avxs,NASDAQ
CAR,"Avis Budget Group, Inc.",43.92,358e7,NA,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/car,NASDAQ
AAXN,"Axon Enterprise, Inc.",26.35,139e7,NA,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aaxn,NASDAQ
BIDU,"Baidu, Inc.",233.48,8107e7,2005,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/bidu,NASDAQ
BCPC,Balchem Corporation,83.87,268e7,NA,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bcpc,NASDAQ
BANF,BancFirst Corporation,54.8,175e7,1993,Finance,Major Banks,http://www.nasdaq.com/symbol/banf,NASDAQ
OZRK,Bank of the Ozarks,47.74,612e7,1997,Finance,Major Banks,http://www.nasdaq.com/symbol/ozrk,NASDAQ
BANR,Banner Corporation,56.31,185e7,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/banr,NASDAQ
BZUN,Baozun Inc.,32.16,176e7,2015,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/bzun,NASDAQ
BECN,"Beacon Roofing Supply, Inc.",61.64,4179999999.9999995,2004,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/becn,NASDAQ
BBBY,Bed Bath & Beyond Inc.,22.62,324e7,1992,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/bbby,NASDAQ
BGNE,"BeiGene, Ltd.",93.6,426e7,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bgne,NASDAQ
BNCL,"Beneficial Bancorp, Inc.",16.75,127e7,NA,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bncl,NASDAQ
