name,symbol,market_cap,earnings_date,fiscal_quarter,consensus_eps,number_ests,last_year_earnings_date,last_year_eps,earnings_type
"AnaptysBio, Inc.",ANAB,263e7,2018-02-06,Dec 2017,-0.41,5,NA,NA,estimated
"CareTrust REIT, Inc.",CTRE,114e7,2018-02-06,Dec 2017,0.31,5,2017-02-07,0.28,estimated
"Kala Pharmaceuticals, Inc.",KALA,31534e4,2018-02-06,Dec 2017,-0.37,3,NA,NA,estimated
Oasis Midstream Partners LP,OMP,49384e4,2018-02-06,Dec 2017,0.41,4,NA,NA,estimated
Omnicom Group Inc.,OMC,1738e7,2018-02-06,Dec 2017,1.54,4,2017-02-07,1.47,estimated
Oxford Lane Capital Corp.,OXLC,26019e4,2018-02-06,Dec 2017,NA,0,2017-02-07,0.38,estimated
"P.A.M. Transportation Services, Inc.",PTSI,23536e4,2018-02-06,Dec 2017,NA,0,2017-02-07,0.11,estimated
"Cannae Holdings, Inc.",CNNE,NA,2018-02-07,Dec 2017,-0.07,1,NA,-0.03,estimated
Hamilton Beach Brands Holding Company,HBB,35086e4,2018-02-07,Dec 2017,1.51,1,NA,NA,estimated
"Ingles Markets, Incorporated",IMKTA,61894e4,2018-02-07,Dec 2017,NA,0,2017-02-01,0.68,estimated
ProPetro Holding Corp.,PUMP,137e7,2018-02-07,Dec 2017,0.37,5,NA,NA,estimated
Southern Copper Corporation,SCCO,365e8,2018-02-07,Dec 2017,0.59,2,NA,0.22,estimated
"Worldpay, Inc.",WP,2396e7,2018-02-07,Dec 2017,0.9,13,2017-02-01,0.69,estimated
8point3 Energy Partners LP,CAFD,97195e4,2018-02-08,Nov 2017,0.1,6,NA,NA,estimated
"Aileron Therapeutics, Inc.",ALRN,11996e4,2018-02-08,Dec 2017,-0.46,3,NA,NA,estimated
"Altice USA, Inc.",ATUS,1504e7,2018-02-08,Dec 2017,-0.01,3,NA,NA,estimated
"ARC Group Worldwide, Inc.",ARCW,3655e4,2018-02-08,Dec 2017,-0.02,1,2017-02-09,-0.03,estimated
"ASV Holdings, Inc.",ASV,784e5,2018-02-08,Dec 2017,0.07,3,NA,NA,estimated
"Athenex, Inc.",ATNX,85079e4,2018-02-08,Dec 2017,NA,0,NA,NA,estimated
"Castle Brands, Inc.",ROX,19027e4,2018-02-08,Dec 2017,0,1,2017-02-09,0,estimated
Cel-Sci Corporation,CVM,2404e4,2018-02-08,Dec 2017,NA,0,2017-02-09,0.25,estimated
Cemtrex Inc.,CETX,286e5,2018-02-08,Dec 2017,0.18,1,2017-02-09,0.14,estimated
"Daseke, Inc.",DSKE,64089e4,2018-02-08,Dec 2017,-0.07,3,NA,NA,estimated
"Dova Pharmaceuticals, Inc.",DOVA,7724e5,2018-02-08,Dec 2017,-0.36,3,NA,NA,estimated
Echelon Corporation,ELON,2165e4,2018-02-08,Dec 2017,-0.28,1,2017-02-09,-0.22,estimated
"Emerald Expositions Events, Inc.",EEX,152e7,2018-02-08,Dec 2017,-0.06,3,NA,NA,estimated
"Exela Technologies, Inc.",XELA,81448e4,2018-02-08,Dec 2017,NA,0,NA,NA,estimated
"Heartland Express, Inc.",HTLD,179e7,2018-02-08,Dec 2017,0.1,6,2017-01-26,0.16,estimated
"Mersana Therapeutics, Inc.",MRSN,32651e4,2018-02-08,Dec 2017,-0.5,2,NA,NA,estimated
Ovid Therapeutics Inc.,OVID,18182e4,2018-02-08,Dec 2017,-0.42,2,NA,NA,estimated
Paramount Gold Nevada Corp.,PZG,2884e4,2018-02-08,Dec 2017,-0.07,1,2017-02-09,-0.12,estimated
PLx Pharma Inc.,PLXP,5713e4,2018-02-08,Dec 2017,-0.53,2,NA,NA,estimated
"Plymouth Industrial REIT, Inc.",PLYM,67069999.99999999,2018-02-08,Dec 2017,0.08,1,NA,NA,estimated
"Ranger Energy Services, Inc.",RNGR,15432e4,2018-02-08,Dec 2017,0.01,2,NA,NA,estimated
"RCI Hospitality Holdings, Inc.",RICK,27212e4,2018-02-08,Dec 2017,0.43,2,2017-02-09,0.31,estimated
Redfin Corporation,RDFN,187e7,2018-02-08,Dec 2017,-0.04,8,NA,NA,estimated
Regal Entertainment Group,RGC,364e7,2018-02-08,Dec 2017,0.34,6,2017-02-09,0.33,estimated
"RumbleOn, Inc.",RMBL,6012e4,2018-02-08,Dec 2017,-0.14,1,NA,NA,estimated
S&W Seed Company,SANW,NA,2018-02-08,Dec 2017,0,5,2017-02-09,0.03,estimated
"Sienna Biopharmaceuticals, Inc.",SNNA,33786e4,2018-02-08,Dec 2017,NA,0,NA,NA,estimated
Unilever NV,UN,14987e7,2018-02-08,Dec 2017,NA,0,NA,NA,estimated
Unilever PLC,UL,14686e7,2018-02-08,Dec 2017,NA,0,NA,NA,estimated
"XpresSpa Group, Inc.",XSPA,2552e4,2018-02-08,Dec 2017,-0.1,1,NA,-0.24,estimated
AZZ Inc.,AZZ,11e8,2018-02-09,Nov 2017,0.62,1,2017-01-06,0.7,estimated
Calpine Corporation,CPN,542e7,2018-02-09,Dec 2017,0.13,3,2017-02-10,-0.4,estimated
Comp En De Mn Cemig ADS,CIG,293e7,2018-02-09,Dec 2017,NA,0,NA,NA,estimated
"DelMar Pharmaceuticals, Inc.",DMPI,2851e4,2018-02-09,Dec 2017,-0.15,1,2017-02-10,-0.13,estimated
Intellipharmaceutics International Inc.,IPCI,254e5,2018-02-09,Nov 2017,-0.08,3,2017-02-10,-0.14,estimated
"Select Bancorp, Inc.",SLCT,18325e4,2018-02-09,Dec 2017,0.19,1,2017-01-27,0.14,estimated
"SK Telecom Co., Ltd.",SKM,1595e7,2018-02-09,Dec 2017,NA,0,2017-02-03,0.69,estimated
"Akcea Therapeutics, Inc.",AKCA,152e7,2018-02-12,Dec 2017,-0.23,3,NA,NA,estimated
"Alpine Immune Sciences, Inc.",ALPN,1477e5,2018-02-12,Dec 2017,-0.44,1,2017-02-13,-2,estimated
"Argo Group International Holdings, Ltd.",AGII,175e7,2018-02-12,Dec 2017,0.89,1,2017-02-13,0.65,estimated
"Arrowhead Pharmaceuticals, Inc.",ARWR,50858e4,2018-02-12,Dec 2017,-0.18,3,2017-02-06,-0.17,estimated
"AzurRx BioPharma, Inc.",AZRX,3658e4,2018-02-12,Dec 2017,-0.24,3,NA,NA,estimated
"Bridgeline Digital, Inc.",BLIN,953e4,2018-02-12,Dec 2017,NA,0,2017-02-13,-0.1,estimated
Brookdale Senior Living Inc.,BKD,191e7,2018-02-12,Dec 2017,-0.23,2,2017-02-13,0.44,estimated
"Calyxt, Inc.",CLXT,62116e4,2018-02-12,Dec 2017,-0.21,2,NA,NA,estimated
Clementia Pharmaceuticals Inc.,CMTA,49892e4,2018-02-12,Dec 2017,-0.34,3,NA,NA,estimated
Dynatronics Corporation,DYNT,1255e4,2018-02-12,Dec 2017,NA,0,2017-02-13,-0.19,estimated
ESSA Pharma Inc.,EPIX,662e4,2018-02-12,Dec 2017,NA,0,2017-02-13,0.05,estimated
"Five Point Holdings, LLC",FPH,8048e5,2018-02-12,Dec 2017,-0.05,1,NA,NA,estimated
IRSA Inversiones Y Representaciones S.A.,IRS,152e7,2018-02-12,Dec 2017,NA,0,2017-02-13,0.39,estimated
"Krystal Biotech, Inc.",KRYS,9889e4,2018-02-12,Dec 2017,NA,0,NA,NA,estimated
"LEAP THERAPEUTICS, INC.",LPTX,7919e4,2018-02-12,Dec 2017,-0.77,1,NA,NA,estimated
"MIDSTATES PETROLEUM COMPANY, INC.",MPO,37106e4,2018-02-12,Dec 2017,0.32,1,NA,NA,estimated
"Moxian, Inc.",MOXC,23453e4,2018-02-12,Dec 2017,NA,0,2017-02-13,-0.04,estimated
Myomo Inc.,MYO,2571e4,2018-02-12,Dec 2017,NA,0,NA,NA,estimated
National Retail Properties,NNN,57e8,2018-02-12,Dec 2017,0.64,9,2017-02-13,0.62,estimated
"NCS Multistage Holdings, Inc.",NCSM,67624e4,2018-02-12,Dec 2017,-0.05,3,NA,NA,estimated
Netshoes (Cayman) Limited,NETS,21284e4,2018-02-12,Dec 2017,-0.23,1,NA,NA,estimated
"PetIQ, Inc.",PETQ,49238e4,2018-02-12,Dec 2017,0.07,5,NA,NA,estimated
PQ Group Holdings Inc.,PQG,199e7,2018-02-12,Dec 2017,0.12,4,NA,NA,estimated
Rosehill Resources Inc.,ROSE,24889e4,2018-02-12,Dec 2017,-0.03,2,NA,NA,estimated
"Snyder's-Lance, Inc.",LNCE,486e7,2018-02-12,Dec 2017,0.41,2,2017-02-13,0.38,estimated
"Switch, Inc.",SWCH,377e7,2018-02-12,Dec 2017,-0.22,5,NA,NA,estimated
Toyota Motor Corp Ltd Ord,TM,20432e7,2018-02-12,Dec 2017,2.84,1,2017-02-06,2.92,estimated
"VistaGen Therapeutics, Inc.",VTGN,26e6,2018-02-12,Dec 2017,NA,0,2017-02-13,-0.34,estimated
"WideOpenWest, Inc.",WOW,87706e4,2018-02-12,Dec 2017,0.3,2,NA,NA,estimated
"AMAG Pharmaceuticals, Inc.",AMAG,45633e4,2018-02-13,Dec 2017,-0.33,3,2017-02-14,-0.31,estimated
"Aqua Metals, Inc.",AQMS,3448e4,2018-02-13,Dec 2017,-0.24,2,2017-02-14,-0.3,estimated
Axovant Sciences Ltd.,AXON,21542e4,2018-02-13,Dec 2017,-0.49,6,2017-02-14,-0.48,estimated
Biohaven Pharmaceutical Holding Company Ltd.,BHVN,117e7,2018-02-13,Dec 2017,-1.33,3,NA,NA,estimated
"CAI International, Inc.",CAI,47245e4,2018-02-13,Dec 2017,0.86,4,2017-02-14,-0.09,estimated
"CarGurus, Inc.",CARG,324e7,2018-02-13,Dec 2017,0.01,2,NA,NA,estimated
"CB Financial Services, Inc.",CBFV,12325e4,2018-02-13,Dec 2017,0.48,1,2017-01-31,0.49,estimated
"China Green Agriculture, Inc.",CGA,532e5,2018-02-13,Dec 2017,0.14,1,2017-02-14,0.15,estimated
ContraVir Pharmaceuticals Inc,CTRV,1987e4,2018-02-13,Dec 2017,NA,0,2017-02-14,-0.11,estimated
"Deciphera Pharmaceuticals, Inc.",DCPH,86009e4,2018-02-13,Dec 2017,-0.41,2,NA,NA,estimated
GEE Group Inc.,JOB,2693e4,2018-02-13,Dec 2017,-0.17,1,2017-02-14,0.01,estimated
"Genomic Health, Inc.",GHDX,117e7,2018-02-13,Dec 2017,0.09,7,2017-02-14,0.04,estimated
Grupo Financiero Galicia S.A.,GGAL,796e7,2018-02-13,Dec 2017,0.94,2,2017-02-14,0.88,estimated
HDFC Bank Limited,HDB,8627e7,2018-02-13,Dec 2017,0.84,1,NA,0.67,estimated
ICICI Bank Limited,IBN,33200000000.000004,2018-02-13,Dec 2017,0.1,1,2017-01-31,0.11,estimated
LendingClub Corporation,LC,158e7,2018-02-13,Dec 2017,-0.02,7,2017-02-14,-0.08,estimated
"MediciNova, Inc.",MNOV,35126e4,2018-02-13,Dec 2017,-0.09,1,NA,-0.04,estimated
"Mustang Bio, Inc.",MBIO,28698e4,2018-02-13,Dec 2017,-0.24,1,NA,NA,estimated
ObsEva SA,OBSV,46952e4,2018-02-13,Dec 2017,-0.53,3,NA,NA,estimated
"Ohr Pharmaceuticals, Inc.",OHRP,1742e4,2018-02-13,Dec 2017,NA,0,2017-02-14,-0.21,estimated
Orchids Paper Products Company,TIS,1386e5,2018-02-13,Dec 2017,-0.05,2,2017-02-14,0.25,estimated
"Overstock.com, Inc.",OSTK,161e7,2018-02-13,Dec 2017,-0.03,1,2017-01-31,0.12,estimated
Potbelly Corporation,PBPB,29641e4,2018-02-13,Dec 2017,0.07,4,2017-02-14,0.15,estimated
"Rhythm Pharmaceuticals, Inc.",RYTM,77542e4,2018-02-13,Dec 2017,-0.55,1,NA,NA,estimated
"Southern First Bancshares, Inc.",SFST,31984e4,2018-02-13,Dec 2017,0.54,1,NA,0.49,estimated
Tata Motors Ltd,TTM,1977e7,2018-02-13,Dec 2017,NA,0,NA,-0.22,estimated
"Tyme Technologies, Inc.",TYME,37872e4,2018-02-13,Dec 2017,-0.06,1,NA,-0.04,estimated
World Fuel Services Corporation,INT,171e7,2018-02-13,Dec 2017,0.62,2,2017-02-14,0.03,estimated
"YogaWorks, Inc.",YOGA,4548e4,2018-02-13,Dec 2017,-0.28,1,NA,NA,estimated
BRT Apartments Corp.,BRT,15915e4,2018-02-14,Dec 2017,0.2,2,2017-02-08,0.21,estimated
"CalAtlantic Group, Inc.",CAA,635e7,2018-02-14,Dec 2017,1.21,8,2017-02-08,1.26,estimated
Cars.com Inc.,CARS,198e7,2018-02-14,Dec 2017,0.28,1,NA,NA,estimated
Cray Inc,CRAY,92603e4,2018-02-14,Dec 2017,0.22,3,2017-02-08,1.31,estimated
"Equifax, Inc.",EFX,1412e7,2018-02-14,Dec 2017,1.35,9,2017-02-08,1.42,estimated
"Farmers & Merchants Bancorp, Inc.",FMAO,36464e4,2018-02-14,Dec 2017,0.35,1,2017-02-08,0.34,estimated
"Flotek Industries, Inc.",FTK,28754e4,2018-02-14,Dec 2017,-0.02,1,2017-02-08,-0.06,estimated
"Forterra, Inc.",FRTA,44802e4,2018-02-14,Dec 2017,-0.22,2,NA,NA,estimated
"G1 Therapeutics, Inc.",GTHX,61027e4,2018-02-14,Dec 2017,-0.58,3,NA,NA,estimated
"Gardner Denver Holdings, Inc.",GDI,643e7,2018-02-14,Dec 2017,0.41,2,NA,NA,estimated
Golden Ocean Group Limited,GOGL,12e8,2018-02-14,Dec 2017,0.13,3,2017-02-08,0.06,estimated
Goodrich Petroleum Corporation,GDP,11424e4,2018-02-14,Dec 2017,-0.05,6,NA,NA,estimated
"Hostess Brands, Inc.",TWNK,169e7,2018-02-14,Dec 2017,0.15,4,NA,NA,estimated
"Key Energy Services, Inc.",KEG,26907e4,2018-02-14,Dec 2017,-1.33,2,NA,NA,estimated
"MEI Pharma, Inc.",MEIP,8624e4,2018-02-14,Dec 2017,-0.26,3,2017-02-08,0.32,estimated
OrthoPediatrics Corp.,KIDS,21764e4,2018-02-14,Dec 2017,-0.13,2,NA,NA,estimated
"PCM, Inc.",PCMI,9719e4,2018-02-14,Dec 2017,0.53,2,2017-02-08,0.51,estimated
"Pluristem Therapeutics, Inc.",PSTI,15352e4,2018-02-14,Dec 2017,-0.08,2,2017-02-08,-0.08,estimated
"Select Energy Services, Inc.",WTTR,18e8,2018-02-14,Dec 2017,0.12,4,NA,NA,estimated
"Synchronoss Technologies, Inc.",SNCR,34068e4,2018-02-14,Dec 2017,0.08,1,2017-02-08,0.09,estimated
Terreno Realty Corporation,TRNO,182e7,2018-02-14,Dec 2017,0.29,7,NA,0.22,estimated
Tocagen Inc.,TOCA,24524e4,2018-02-14,Dec 2017,-0.53,1,NA,NA,estimated
WGL Holdings Inc,WGL,439e7,2018-02-14,Dec 2017,1.26,3,2017-02-08,1.24,estimated
Zymeworks Inc.,ZYME,30736e4,2018-02-14,Dec 2017,-0.62,2,NA,NA,estimated
Altisource Portfolio Solutions S.A.,ASPS,45961e4,2018-02-15,Dec 2017,0.61,2,2017-02-16,0.55,estimated
"BCB Bancorp, Inc. (NJ)",BCBP,22322e4,2018-02-15,Dec 2017,0.21,1,2017-02-16,0.2,estimated
"Build-A-Bear Workshop, Inc.",BBW,13291e4,2018-02-15,Dec 2017,0.34,3,2017-02-16,0.31,estimated
Ciner Resources LP,CINR,54898e4,2018-02-15,Dec 2017,0.55,2,2017-02-16,0.49,estimated
"CVR Partners, LP",UAN,34438e4,2018-02-15,Dec 2017,-0.14,1,2017-02-16,-0.13,estimated
"CVR Refining, LP",CVRR,23e8,2018-02-15,Dec 2017,0.3,1,2017-02-16,-0.07,estimated
Encore Wire Corporation,WIRE,99809e4,2018-02-15,Dec 2017,0.47,1,2017-02-16,0.55,estimated
Euroseas Ltd.,ESEA,1978e4,2018-02-15,Dec 2017,NA,0,2017-02-16,-0.45,estimated
"Genocea Biosciences, Inc.",GNCA,8173e4,2018-02-15,Dec 2017,-0.38,2,2017-02-16,-0.56,estimated
"GNC Holdings, Inc.",GNC,3479e5,2018-02-15,Dec 2017,0.24,3,2017-02-16,0.07,estimated
Keysight Technologies Inc.,KEYS,8470000000.000001,2018-02-15,Jan 2018,0.32,4,2017-02-16,0.46,estimated
Liberty Latin America Ltd.,LILA,376e7,2018-02-15,Dec 2017,-0.13,2,2017-02-16,-0.07,estimated
"Marchex, Inc.",MCHX,15153e4,2018-02-15,Dec 2017,-0.02,1,2017-02-16,-0.09,estimated
"Navigant Consulting, Inc.",NCI,89682e4,2018-02-15,Dec 2017,0.4,3,2017-02-16,0.3,estimated
PAVmed Inc.,PAVM,2855e4,2018-02-15,Dec 2017,NA,0,2017-02-16,-0.13,estimated
Pool Corporation,POOL,524e7,2018-02-15,Dec 2017,0.17,3,2017-02-16,0.06,estimated
"Rocky Brands, Inc.",RCKY,12497e4,2018-02-15,Dec 2017,0.25,1,2017-02-16,0.18,estimated
"Standard Motor Products, Inc.",SMP,108e7,2018-02-15,Dec 2017,0.39,2,2017-02-16,0.42,estimated
"T2 Biosystems, Inc.",TTOO,16802e4,2018-02-15,Dec 2017,-0.42,3,2017-02-16,-0.47,estimated
"Town Sports International Holdings, Inc.",CLUB,14808e4,2018-02-15,Dec 2017,-0.02,1,2017-02-16,-0.01,estimated
Ultragenyx Pharmaceutical Inc.,RARE,224e7,2018-02-15,Dec 2017,-2,8,2017-02-16,-1.75,estimated
Universal Electronics Inc.,UEIC,6459e5,2018-02-15,Dec 2017,0.6,3,2017-02-16,0.57,estimated
"Viveve Medical, Inc.",VIVE,744e5,2018-02-15,Dec 2017,-0.46,4,2017-02-16,-0.55,estimated
ZIOPHARM Oncology Inc,ZIOP,58347e4,2018-02-15,Dec 2017,-0.13,5,2017-02-16,-0.11,estimated
"Ardelyx, Inc.",ARDX,31373e4,2018-02-16,Dec 2017,-0.39,2,2017-02-17,-0.66,estimated
Astronics Corporation,ATRO,113e7,2018-02-16,Dec 2017,0.44,2,2017-02-17,0.33,estimated
"Banco Latinoamericano de Comercio Exterior, S.A.",BLX,111e7,2018-02-16,Dec 2017,0.55,1,2017-02-17,0.34,estimated
DENTSPLY SIRONA Inc.,XRAY,1339e7,2018-02-16,Dec 2017,0.81,10,2017-02-17,0.67,estimated
"Despegar.com, Corp.",DESP,204e7,2018-02-16,Dec 2017,0.12,2,NA,NA,estimated
Enbridge Energy Management LLC,EEQ,633e7,2018-02-16,Dec 2017,0.19,3,NA,-0.02,estimated
"Gibraltar Industries, Inc.",ROCK,106e7,2018-02-16,Dec 2017,0.34,2,2017-02-17,0.3,estimated
Liberty Broadband Corporation,LBRDK,165e8,2018-02-16,Dec 2017,0.28,1,NA,0.25,estimated
Liberty Broadband Corporation,LBRDA,16420000000.000002,2018-02-16,Dec 2017,0.24,2,NA,0.25,estimated
ReWalk Robotics Ltd,RWLK,2427e4,2018-02-16,Dec 2017,NA,0,2017-02-17,-0.54,estimated
"Targa Resources, Inc.",TRGP,1026e7,2018-02-16,Dec 2017,-0.02,9,NA,0.03,estimated
"Borqs Technologies, Inc.",BRQS,27955e4,2018-02-19,Dec 2017,-0.07,1,NA,NA,estimated
"Community Health Systems, Inc.",CYH,64706e4,2018-02-19,Dec 2017,-0.36,11,2017-02-20,0.46,estimated
Rogers Corporation,ROG,281e7,2018-02-19,Dec 2017,1.42,1,2017-02-20,0.94,estimated
"Astec Industries, Inc.",ASTE,137e7,2018-02-20,Dec 2017,0.45,6,2017-02-21,0.53,estimated
BanColombia S.A.,CIB,106e8,2018-02-20,Dec 2017,0.86,3,NA,1.57,estimated
Baozun Inc.,BZUN,185e7,2018-02-20,Dec 2017,NA,0,2017-02-21,0.16,estimated
"Copart, Inc.",CPRT,965e7,2018-02-20,Jan 2018,0.37,5,2017-02-21,0.29,estimated
"Cracker Barrel Old Country Store, Inc.",CBRL,408e7,2018-02-20,Jan 2018,2.32,3,2017-02-21,2.19,estimated
"Daktronics, Inc.",DAKT,41361e4,2018-02-20,Jan 2018,-0.02,1,2017-02-21,-0.12,estimated
"Depomed, Inc.",DEPO,42975e4,2018-02-20,Dec 2017,-0.22,2,2017-02-21,-0.72,estimated
"Dillard's, Inc.",DDS,183e7,2018-02-20,Jan 2018,1.73,3,2017-02-21,1.85,estimated
"Entellus Medical, Inc.",ENTL,61799e4,2018-02-20,Dec 2017,-0.44,3,2017-02-21,-0.39,estimated
Eros International PLC,EROS,70425e4,2018-02-20,Dec 2017,0.1,2,2017-02-21,0.13,estimated
Eversource Energy,ES,1803e7,2018-02-20,Dec 2017,0.76,6,2017-02-21,0.72,estimated
Exact Sciences Corporation,EXAS,577e7,2018-02-20,Dec 2017,-0.29,6,2017-02-21,-0.34,estimated
"Exactech, Inc.",EXAC,71182e4,2018-02-20,Dec 2017,0.38,1,2017-02-21,0.34,estimated
"First Solar, Inc.",FSLR,657e7,2018-02-20,Dec 2017,-0.31,8,2017-02-21,1.24,estimated
Foamix Pharmaceuticals Ltd.,FOMX,24781e4,2018-02-20,Dec 2017,-0.45,1,2017-02-21,-0.31,estimated
"HealthStream, Inc.",HSTM,72245e4,2018-02-20,Dec 2017,0.03,6,2017-02-21,0.02,estimated
"Innophos Holdings, Inc.",IPHS,82705e4,2018-02-20,Dec 2017,0.56,1,2017-02-21,0.52,estimated
"Lantheus Holdings, Inc.",LNTH,75575e4,2018-02-20,Dec 2017,0.16,2,2017-02-21,0.18,estimated
"LeMaitre Vascular, Inc.",LMAT,66059e4,2018-02-20,Dec 2017,0.19,3,2017-02-21,0.13,estimated
"Lumber Liquidators Holdings, Inc",LL,74062e4,2018-02-20,Dec 2017,0.09,8,2017-02-21,-0.2,estimated
Macquarie Infrastructure Corporation,MIC,539e7,2018-02-20,Dec 2017,0.61,2,2017-02-21,0.89,estimated
MediWound Ltd.,MDWD,11766e4,2018-02-20,Dec 2017,-0.16,4,2017-02-21,-0.09,estimated
"Merit Medical Systems, Inc.",MMSI,218e7,2018-02-20,Dec 2017,0.32,6,2017-02-21,0.31,estimated
"Nautilus Group, Inc. (The)",NLS,36541e4,2018-02-20,Dec 2017,0.31,4,2017-02-21,0.38,estimated
New Residential Investment Corp.,NRZ,508e7,2018-02-20,Dec 2017,0.54,4,2017-02-21,0.62,estimated
"New York Mortgage Trust, Inc.",NYMT,61743e4,2018-02-20,Dec 2017,0.13,1,2017-02-21,0.09,estimated
"Quanta Services, Inc.",PWR,533e7,2018-02-20,Dec 2017,0.39,7,2017-02-21,0.52,estimated
"Red Robin Gourmet Burgers, Inc.",RRGB,69661e4,2018-02-20,Dec 2017,0.55,6,2017-02-21,0.35,estimated
"Restoration Robotics, Inc.",HAIR,12527e4,2018-02-20,Dec 2017,-0.16,1,NA,NA,estimated
Ritchie Bros. Auctioneers Incorporated,RBA,333e7,2018-02-20,Dec 2017,0.21,6,2017-02-21,0.3,estimated
Sandstorm Gold Ltd,SAND,86958e4,2018-02-20,Dec 2017,0.02,2,2017-02-21,0.01,estimated
Sea Limited,SE,366e7,2018-02-20,Dec 2017,-0.66,2,2017-02-17,NA,estimated
"StarTek, Inc.",SRT,17644e4,2018-02-20,Dec 2017,-0.01,1,2017-02-21,0.07,estimated
"Valeritas Holdings, Inc.",VLRX,2268e4,2018-02-20,Dec 2017,-1.69,2,2017-02-21,-6.16,estimated
"Versartis, Inc.",VSAR,64459999.99999999,2018-02-20,Dec 2017,-0.88,1,2017-02-21,-0.64,estimated
Xcerra Corporation,XCRA,5395e5,2018-02-20,Jan 2018,0.14,2,2017-02-21,0.06,estimated
Arcturus Therapeutics Ltd.,ARCT,6764e4,2018-02-21,Dec 2017,NA,0,2017-02-15,-1.54,estimated
"ARMOUR Residential REIT, Inc.",ARR,94079e4,2018-02-21,Dec 2017,NA,0,2017-02-15,0.71,estimated
"Blackhawk Network Holdings, Inc.",HAWK,251e7,2018-02-21,Dec 2017,0.87,1,2017-02-15,0.9,estimated
Compugen Ltd.,CGEN,13678e4,2018-02-21,Dec 2017,NA,0,2017-02-15,-0.17,estimated
"CryoLife, Inc.",CRY,64149e4,2018-02-21,Dec 2017,0.09,2,2017-02-15,0.12,estimated
JMP Group LLC,JMP,11117e4,2018-02-21,Dec 2017,0.06,1,2017-02-15,0.13,estimated
"Laredo Petroleum, Inc.",LPI,21e8,2018-02-21,Dec 2017,0.17,11,2017-02-15,0.16,estimated
"LightPath Technologies, Inc.",LPTH,5827e4,2018-02-21,Dec 2017,0.01,1,2017-02-15,0.05,estimated
"Schweitzer-Mauduit International, Inc.",SWM,129e7,2018-02-21,Dec 2017,0.61,1,2017-02-15,0.8,estimated
"Shineco, Inc.",TYHT,3471e4,2018-02-21,Dec 2017,NA,0,2017-02-15,0.14,estimated
"Spring Bank Pharmaceuticals, Inc.",SBPH,15865e4,2018-02-21,Dec 2017,-0.65,2,2017-02-15,-0.51,estimated
"AAON, Inc.",AAON,177e7,2018-02-22,Dec 2017,0.24,1,2017-02-23,0.21,estimated
"Achillion Pharmaceuticals, Inc.",ACHN,40254e4,2018-02-22,Dec 2017,-0.15,3,2017-02-23,-0.03,estimated
Acme United Corporation.,ACU,814e5,2018-02-22,Dec 2017,0.23,1,2017-02-23,0.15,estimated
"Alder BioPharmaceuticals, Inc.",ALDR,94302e4,2018-02-22,Dec 2017,-1.08,4,2017-02-23,-0.97,estimated
American States Water Company,AWR,192e7,2018-02-22,Dec 2017,0.35,2,2017-02-23,0.3,estimated
"BJ's Restaurants, Inc.",BJRI,76963e4,2018-02-22,Dec 2017,0.33,9,2017-02-23,0.55,estimated
British American Tobacco p.l.c.,BTI,14631e7,2018-02-22,Dec 2017,2,1,NA,NA,estimated
California Water  Service Group Holding,CWT,187e7,2018-02-22,Dec 2017,0.24,3,2017-02-23,0.31,estimated
Canadian Imperial Bank of Commerce,CM,4101e7,2018-02-22,Jan 2018,2.23,4,2017-02-23,2.17,estimated
"Carrizo Oil & Gas, Inc.",CRZO,149e7,2018-02-22,Dec 2017,0.56,10,2017-02-23,0.44,estimated
"Carter's, Inc.",CRI,569e7,2018-02-22,Dec 2017,2.2,5,2017-02-23,1.79,estimated
"China Biologic Products Holdings, Inc.",CBPO,2109999999.9999998,2018-02-22,Dec 2017,1.11,1,2017-02-23,0.71,estimated
Cinemark Holdings Inc,CNK,4230000000.0000005,2018-02-22,Dec 2017,0.47,6,2017-02-23,0.64,estimated
"Clear Channel Outdoor Holdings, Inc.",CCO,167e7,2018-02-22,Dec 2017,0.04,2,2017-02-23,0.28,estimated
"Comfort Systems USA, Inc.",FIX,151e7,2018-02-22,Dec 2017,0.51,2,2017-02-23,0.45,estimated
"Consolidated Communications Holdings, Inc.",CNSL,82949e4,2018-02-22,Dec 2017,0.04,2,2017-02-23,0.1,estimated
Cosan Limited,CZZ,291e7,2018-02-22,Dec 2017,NA,0,NA,NA,estimated
Dynegy Inc.,DYN,171e7,2018-02-22,Dec 2017,-0.43,2,2017-02-23,-0.7,estimated
Eldorado Gold Corporation,EGO,96075e4,2018-02-22,Dec 2017,0.01,5,2017-02-23,0,estimated
"Emergent Biosolutions, Inc.",EBS,234e7,2018-02-22,Dec 2017,0.6,3,2017-02-23,0.74,estimated
Encore Capital Group Inc,ECPG,102e7,2018-02-22,Dec 2017,0.93,5,2017-02-23,0.72,estimated
"Energy Focus, Inc.",EFOI,2905e4,2018-02-22,Dec 2017,-0.15,4,2017-02-23,-0.27,estimated
"Escalade, Incorporated",ESCA,17963e4,2018-02-22,Dec 2017,0.28,1,2017-02-23,0.24,estimated
"Eyegate Pharmaceuticals, Inc.",EYEG,1256e4,2018-02-22,Dec 2017,-0.25,2,2017-02-23,-0.38,estimated
"Financial Engines, Inc.",FNGN,176e7,2018-02-22,Dec 2017,0.28,5,2017-02-23,0.19,estimated
