symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
AUMN,Golden Minerals Company,0.3738,3439e4,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn,AMEX
GSS,"Golden Star Resources, Ltd",0.8405,31988e4,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gss,AMEX
GV,Goldfield Corporation (The),4.6,11708e4,NA,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/gv,AMEX
GDP,Goodrich Petroleum Corporation,10.15,10697e4,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gdp,AMEX
GTE,Gran Tierra Energy Inc.,2.31,89724e4,NA,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte,AMEX
GPL,Great Panther Silver Limited,1.21,20371e4,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gpl,AMEX
SIM,"Grupo Simec, S.A. de C.V.",9.53,158e7,1993,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/sim,AMEX
GVP,"GSE Systems, Inc.",3.2,6208e4,NA,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gvp,AMEX
GLF,"GulfMark Offshore, Inc.",28.25,80151e4,2017,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/glf,AMEX
GLF.WS,"GulfMark Offshore, Inc.",NA,NA,NA,NA,NA,http://www.nasdaq.com/symbol/glf.ws,AMEX
HEB,"Hemispherx BioPharma, Inc.",0.3151,1004e4,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/heb,AMEX
HCAC,Hennessy Capital Acquisition Corp. III,9.81,31472e4,2017,Finance,Business Services,http://www.nasdaq.com/symbol/hcac,AMEX
HCAC.U,Hennessy Capital Acquisition Corp. III,NA,NA,2017,NA,NA,http://www.nasdaq.com/symbol/hcac.u,AMEX
HCAC.WS,Hennessy Capital Acquisition Corp. III,NA,NA,NA,NA,NA,http://www.nasdaq.com/symbol/hcac.ws,AMEX
HLM^,Hillman Group Capital Trust,34.4699,NA,NA,NA,NA,http://www.nasdaq.com/symbol/hlm^,AMEX
HMG,"HMG/Courtland Properties, Inc.",13.05,1308e4,NA,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hmg,AMEX
HUSA,Houston American Energy Corporation,0.305,176e5,NA,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/husa,AMEX
IBIO,"iBio, Inc.",0.1539,1775e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ibio,AMEX
IBO,IBO (Listing Market - NYSE Amex Network B F),23.86,NA,NA,NA,NA,http://www.nasdaq.com/symbol/ibo,AMEX
IEC,IEC Electronics Corp.,4.02,4149e4,NA,Technology,Electrical Products,http://www.nasdaq.com/symbol/iec,AMEX
IMUC,"ImmunoCellular Therapeutics, Ltd.",0.328,1154e4,NA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imuc,AMEX
IMUC.WS,"ImmunoCellular Therapeutics, Ltd.",NA,NA,NA,NA,NA,http://www.nasdaq.com/symbol/imuc.ws,AMEX
IMH,"Impac Mortgage Holdings, Inc.",10.95,2294e5,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/imh,AMEX
IMO,Imperial Oil Limited,29.51,2461e7,NA,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/imo,AMEX
